OXIDANTES,,,,
G I-3,Carbón Activado,2,2,4
J-3,Carbonato de Amonio ,2,4,300
K-2,Carbonato de Calcio,2,2,1.25
K-5,Carbonato de Cobre (II),2,4,50
I-2,Carbonato de Magnesio,2,2,1
L-1,Carbonato de Níquel,2,2,0.5
L-2,Carbonato de Potasio,2,4,500
O-3,Carbonato de Sodio,2,2,500
K-3,Carburo de Calcio,2,2,3.5
E-1,Celulosa Microcristalina,2,2,5
E-1,Celulosa Nativa,2,2,1.5
L-4,Cianato de Potasio,2,2,1
L-2,Cintas de Magnesio,2,5,0.5
P-1,Citrato de Sodio 2H2O,2,2,500
D-1,Clorancotil Cloride,2,3,50
A-1,"CLORURO DE 2.3.5 TRIFENILTRAZOLIO",2,3,0
J-4,Cloruro de Aluminio,2,2,1.5
J-3,Cloruro de Amonio,2,2,8
M-3,Cloruro de Bario anhidro,2,2,0.5
M-3,Cloruro de Bario dihidratado,2,2,3
BODEGA LAB,Cloruro de Cadmio,2,2,0
K-3,Cloruro de Calcio,2,2,6
K-3,Cloruro de Calcio dihidratado,2,2,2.5
K-3,Cloruro de Calcio granulado,2,2,1
K-5,Cloruro de Cobre (II) dihidratado,2,2,1750
L-5,Cloruro de estaño,2,2,4
Laboratorio,Cloruro de estroncio,2,4,2
N-2,Cloruro de Hierro (III) hexahidratado,2,2,1
Laboratorio,Cloruro de litio,2,2,0.1
I-1,Cloruro de Magnesio 6 H2O,2,2,1.5
M-3,Cloruro de Mercurio (II),2,2,1.4
L-1,Cloruro de Níquel (II),2,2,1
M-2,Cloruro de Plomo,2,4,250
L-4,Cloruro de Potasio,2,2,3.5
N-3,Cloruro de Sodio,2,4,2900
N-3,Cloruro de Zinc,2,2,1
K-4,Cobre en lámina,2,2,10
K-4,Cobre en polvo,2,2,6
L-5,Coloidal de Plata,2,4,20
labor 3,caseina,2,2,0.5
I-3,CAL,2,2,1
K-4,CLORURO DE COBRE (cristales ),2,4,300
N-1,CLORURO DE HIERRO 2 CUATRO AGUAS,2,4,1250
BODEGA DE LAB,CLORURO DE NIQUEL 6 H2O,2,4,125
BODEGA DE LAB,NIQUEL METAL,2,4,500
BODEGA DE LAB,COBRE EN TROZOS ( ALAMBRE ) LO TRAE JC,2,2,5452
BODEGA DE LAB,cloruro sodio no reactivo,2,2,7.5
BODEGA DE LAB,clavos de hierro,2,2,2
I-3,DIOXIDO DE SILICIO ,2,2,2
I-5,DIOXIDO DE TITANIO,2,2,1
L-3,DIOFTALATO DE POTASIO,2,4,400
M-2,DIOXIDO DE PLOMO,2,4,500
M-3,DIFENIL-4-SULFONICO,2,4,55
C-2,EDTA,2,2,0.1
C-1,EDTA (sal disodica),2,2,5.5
laboratorio,eosina amarilla,2,4,75
B-1,Eriocromo Negro T,2,4,175
L-5,Estaño en polvo,2,4,500
BODEGA LAB,Estaño Granulado,2,2,2
generales ,eosina y,2,2,0.25
E-2,Gelatina,2,4,0
G-2,Glicerina,2,1,2
F-1,Glucosa monohidratada,2,2,3.05
F-1,Goma arabiga,2,4,250
BODEGA LAB 3,GRASA VEGETAL ( MANTECA ),2,2,1.3
A-1,HIERRO REACTIVO ,2,4,10
B-2 ,Hematoxilina,2,4,200
J-2,Heptamolibdato de Amonio tetrahidratado,2,4,1.25
L-2,Hexaciano Ferrato (II) de Potasio trihidratado,2,2,2
I-5,Hidrocloruro de Hidroxilamina,2,2,0
I-5,Hidroquinona,2,2,1
L-1,Hidroxicarbonato de Niquel,2,2,1.5
Q-6,Hidróxido de Amonio 33%,2,1,16.5
M-3,Hidróxido de Bario 8 H2O,2,2,4.5
K-1,Hidróxido de Calcio,2,2,1
L-2,Hidróxido de Potasio,2,2,2.5
O-2,Hidróxido de Sodio,2,2,31.1
P-3,Hiposulfito de Sodio,2,4,100
L-2,Hidrogenoftalato de potasio,2,2,1400
L-3,HIDROGENOFOSFATO DIPOTASIO,2,2,7
N-2,HIERRO POLVO,2,2,4,4000
K-2,HIPERCLORATO DE CALCIO,2,2,0.15
G-3,HYDROFLUORICACID 48-51%,2,4,500
